time_week,value_week,date
1483228800,100,2017-01-01
1483833600,84,2017-01-08
1484438400,63,2017-01-15
1485043200,56,2017-01-22
1485648000,60,2017-01-29
1486252800,66,2017-02-05
1486857600,60,2017-02-12
1487462400,72,2017-02-19
1488067200,84,2017-02-26
1488672000,97,2017-03-05
1489276800,82,2017-03-12
1489881600,80,2017-03-19
1490486400,72,2017-03-26
1491091200,67,2017-04-02
1491696000,66,2017-04-09
1492300800,65,2017-04-16
1492905600,74,2017-04-23
1493510400,100,2017-04-30
1494115200,49,2017-05-07
1494720000,58,2017-05-14
1495324800,100,2017-05-21
1495929600,63,2017-05-28
1496534400,64,2017-06-04
1497139200,69,2017-06-11
1497744000,56,2017-06-18
1498348800,58,2017-06-25
1498953600,46,2017-07-02
1499558400,52,2017-07-09
1500163200,60,2017-07-16
1500768000,54,2017-07-23
1501372800,81,2017-07-30
1501977600,72,2017-08-06
1502582400,100,2017-08-13
1503187200,79,2017-08-20
1503792000,83,2017-08-27
1504396800,88,2017-09-03
1505001600,100,2017-09-10
1505606400,74,2017-09-17
1506211200,62,2017-09-24
1506816000,44,2017-10-01
1507420800,69,2017-10-08
1508025600,73,2017-10-15
1508630400,74,2017-10-22
1509235200,100,2017-10-29
1509840000,45,2017-11-05
1510444800,50,2017-11-12
1511049600,44,2017-11-19
1511654400,100,2017-11-26
1512259200,87,2017-12-03
1512864000,85,2017-12-10
1513468800,100,2017-12-17
1514073600,62,2017-12-24
1514678400,46,2017-12-31
1515283200,44,2018-01-07
1515888000,54,2018-01-14
1516492800,37,2018-01-21
1517097600,39,2018-01-28
1517702400,47,2018-02-04
1518307200,26,2018-02-11
1518912000,23,2018-02-18
1519516800,19,2018-02-25
1520121600,19,2018-03-04
1520726400,19,2018-03-11
1521331200,18,2018-03-18
1521936000,17,2018-03-25
1522540800,17,2018-04-01
1523145600,15,2018-04-08
1523750400,14,2018-04-15
1524355200,14,2018-04-22
1524960000,12,2018-04-29
1525564800,12,2018-05-06
1526169600,11,2018-05-13
1526774400,11,2018-05-20
1527379200,10,2018-05-27
1527984000,9,2018-06-03
1528588800,12,2018-06-10
1529193600,10,2018-06-17
1529798400,10,2018-06-24
1530403200,9,2018-07-01
1531008000,9,2018-07-08
1531612800,11,2018-07-15
1532217600,12,2018-07-22
1532822400,10,2018-07-29
1533427200,11,2018-08-05
1534032000,10,2018-08-12
1534636800,10,2018-08-19
1535241600,10,2018-08-26
1535846400,11,2018-09-02
1536451200,9,2018-09-09
1537056000,9,2018-09-16
1537660800,8,2018-09-23
1538265600,8,2018-09-30
1538870400,8,2018-10-07
1539475200,8,2018-10-14
1540080000,7,2018-10-21
1540684800,7,2018-10-28
1541289600,8,2018-11-04
1541894400,10,2018-11-11
1542499200,13,2018-11-18
1543104000,14,2018-11-25
1543708800,11,2018-12-02
1544313600,11,2018-12-09
1544918400,11,2018-12-16
1545523200,10,2018-12-23
1546128000,8,2018-12-30
1546732800,16,2019-01-06
1547337600,14,2019-01-13
1547942400,13,2019-01-20
1548547200,13,2019-01-27
1549152000,17,2019-02-03
1549756800,15,2019-02-10
1550361600,17,2019-02-17
1550966400,16,2019-02-24
1551571200,38,2019-03-03
1552176000,35,2019-03-10
1552780800,36,2019-03-17
1553385600,35,2019-03-24
1553990400,63,2019-03-31
1554595200,55,2019-04-07
1555200000,49,2019-04-14
1555804800,52,2019-04-21
1556409600,48,2019-04-28
1557014400,62,2019-05-05
1557619200,100,2019-05-12
1558224000,75,2019-05-19
1558828800,79,2019-05-26
1559433600,47,2019-06-02
1560038400,44,2019-06-09
1560643200,63,2019-06-16
1561248000,100,2019-06-23
1561852800,66,2019-06-30
1562457600,63,2019-07-07
1563062400,62,2019-07-14
1563667200,50,2019-07-21
1564272000,47,2019-07-28
1564876800,57,2019-08-04
1565481600,50,2019-08-11
1566086400,45,2019-08-18
1566691200,43,2019-08-25
1567296000,43,2019-09-01
1567900800,37,2019-09-08
1568505600,35,2019-09-15
1569110400,48,2019-09-22
1569715200,38,2019-09-29
1570320000,37,2019-10-06
1570924800,34,2019-10-13
1571529600,42,2019-10-20
1572134400,41,2019-10-27
1572739200,34,2019-11-03
1573344000,33,2019-11-10
1573948800,37,2019-11-17
1574553600,39,2019-11-24
1575158400,33,2019-12-01
1575763200,32,2019-12-08
1576368000,36,2019-12-15
1576972800,32,2019-12-22
1577577600,33,2019-12-29
1578182400,41,2020-01-05
1578787200,42,2020-01-12
1579392000,37,2020-01-19
1579996800,40,2020-01-26
1580601600,14,2020-02-02
1581206400,16,2020-02-09
1581811200,14,2020-02-16
1582416000,15,2020-02-23
1583020800,13,2020-03-01
1583625600,24,2020-03-08
1584230400,26,2020-03-15
1584835200,19,2020-03-22
1585440000,16,2020-03-29
1586044800,17,2020-04-05
1586649600,16,2020-04-12
1587254400,16,2020-04-19
1587859200,20,2020-04-26
1588464000,23,2020-05-03
1589068800,26,2020-05-10
1589673600,18,2020-05-17
1590278400,16,2020-05-24
1590883200,16,2020-05-31
1591488000,15,2020-06-07
1592092800,13,2020-06-14
1592697600,13,2020-06-21
1593302400,13,2020-06-28
1593907200,12,2020-07-05
1594512000,14,2020-07-12
1595116800,13,2020-07-19
1595721600,21,2020-07-26
1596326400,19,2020-08-02
1596931200,17,2020-08-09
1597536000,17,2020-08-16
1598140800,15,2020-08-23
1598745600,15,2020-08-30
1599350400,14,2020-09-06
1599955200,13,2020-09-13
1600560000,12,2020-09-20
1601164800,11,2020-09-27
1601769600,11,2020-10-04
1602374400,12,2020-10-11
1602979200,16,2020-10-18
1603584000,18,2020-10-25
1604188800,19,2020-11-01
1604793600,20,2020-11-08
1605398400,28,2020-11-15
1606003200,31,2020-11-22
1606608000,27,2020-11-29
1607212800,21,2020-12-06
1607817600,34,2020-12-13
1608422400,35,2020-12-20
1609027200,53,2020-12-27
1609632000,85,2021-01-03
1610236800,82,2021-01-10
1610841600,53,2021-01-17
1611446400,49,2021-01-24
1612051200,44,2021-01-31
1612656000,77,2021-02-07
1613260800,73,2021-02-14
1613865600,82,2021-02-21
1614470400,55,2021-02-28
1615075200,53,2021-03-07
1615680000,52,2021-03-14
1616284800,47,2021-03-21
1616889600,46,2021-03-28
1617494400,41,2021-04-04
1618099200,54,2021-04-11
1618704000,67,2021-04-18
1619308800,51,2021-04-25
1619913600,44,2021-05-02
1620518400,59,2021-05-09
1621123200,100,2021-05-16
1621728000,70,2021-05-23
1622332800,52,2021-05-30
1622937600,53,2021-06-06
1623542400,41,2021-06-13
1624147200,49,2021-06-20
1624752000,36,2021-06-27
1625356800,29,2021-07-04
1625961600,30,2021-07-11
1626566400,35,2021-07-18
1627171200,39,2021-07-25
1627776000,31,2021-08-01
1628380800,36,2021-08-08
1628985600,32,2021-08-15
1629590400,33,2021-08-22
1630195200,29,2021-08-29
1630800000,38,2021-09-05
1631404800,27,2021-09-12
1632009600,34,2021-09-19
1632614400,28,2021-09-26
1633219200,33,2021-10-03
1633824000,37,2021-10-10
1634428800,47,2021-10-17
1635033600,37,2021-10-24
1635638400,31,2021-10-31
1636243200,37,2021-11-07
1636848000,37,2021-11-14
1637452800,36,2021-11-21
1638057600,37,2021-11-28
1638662400,40,2021-12-05
1639267200,34,2021-12-12
1639872000,32,2021-12-19
1640476800,31,2021-12-26
1641081600,36,2022-01-02
1641686400,36,2022-01-09
1642291200,39,2022-01-16
1642896000,50,2022-01-23
1643500800,36,2022-01-30
1644105600,35,2022-02-06
1644710400,30,2022-02-13
1645315200,39,2022-02-20
1645920000,36,2022-02-27
1646524800,32,2022-03-06
1647129600,27,2022-03-13
1647734400,27,2022-03-20
1648339200,29,2022-03-27
1648944000,25,2022-04-03
1649548800,26,2022-04-10
1650153600,23,2022-04-17
1650758400,24,2022-04-24
1651363200,25,2022-05-01
1651968000,54,2022-05-08
1652572800,36,2022-05-15
1653177600,29,2022-05-22
1653782400,26,2022-05-29
1654387200,38,2022-06-05
1654992000,100,2022-06-12
1655596800,75,2022-06-19
1656201600,56,2022-06-26
1656806400,50,2022-07-03
1657411200,47,2022-07-10
1658016000,48,2022-07-17
1658620800,40,2022-07-24
1659225600,36,2022-07-31
1659830400,34,2022-08-07
1660435200,34,2022-08-14
1661040000,31,2022-08-21
